id_registro,fecha,estado_reporte,es_futuro_simulado,dia_semana,id_cuenta_google,nombre_cuenta_google,responsable_cuenta,codigo_pais,pais,region,moneda,id_alias,alias,producto,id_campana,nombre_campana,canal_anuncio,dispositivo,estrategia_puja,estado_campana,presupuesto_diario,impresiones,clics,ctr,cpc_medio,inversion,conversiones,tasa_conversion,cpa,arpu_esperado_7d,arpu_esperado_30d,ltr_esperado_365d,ingresos_esperados_7d,ingresos_esperados_30d,ingresos_ltr_esperados,roas_7d,roas_30d,roas_ltr,beneficio_esperado_30d,beneficio_esperado_ltr,ratio_rentabilidad_ltr,margen_beneficio_ltr,puntuacion_calidad,flag_calidad_datos,evento_sintetico
REC-000009,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,CA,Canadá,Norteamérica,CAD,ALIAS-01-09,BB_CA_ENT_PM_01_09,Entretenimiento,CMP-001-09,CA_ENT_PerformanceMax_GADS-001,Performance Max,movil,tCPA,activa,850.0,63842,3870,0.06062,0.24,921.46,301,0.07778,3.06,0.81,2.53,6.77,245.15,762.16,2036.87,0.266,0.8271,2.2105,-159.3,1115.41,1.2105,0.5476,9,ok,sin_evento
REC-000018,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,CA,Canadá,Norteamérica,CAD,ALIAS-01-18,BB_CA_FIT_S_01_18,Fitness,CMP-001-18,CA_FIT_Search_GADS-001,Busqueda,movil,ROAS objetivo,activa,250.0,45327,3506,0.07736,0.08,266.35,235,0.06703,1.13,0.35,1.12,3.0,83.11,263.78,705.7,0.312,0.9904,2.6495,-2.57,439.35,1.6495,0.6226,8,ok,sin_evento
REC-000015,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,CA,Canadá,Norteamérica,CAD,ALIAS-01-15,BB_CA_FIT_U_01_15,Fitness,CMP-001-15,CA_FIT_UAC_GADS-001,UAC,movil,Maximizar valor de conversion,activa,1600.0,38871,1954,0.05028,0.83,1621.45,145,0.07421,11.18,1.65,4.66,14.27,239.51,676.03,2069.43,0.1477,0.4169,1.2763,-945.42,447.98,0.2763,0.2165,8,ok,sin_evento
REC-000001,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,CA,Canadá,Norteamérica,CAD,ALIAS-01-01,BB_CA_GAM_D_01_01,Juegos,CMP-001-01,CA_GAM_Discovery_GADS-001,Discovery,escritorio,tCPA,activa,600.0,36509,1952,0.05349,0.33,645.16,121,0.06199,5.33,1.04,3.23,9.92,126.37,391.41,1200.64,0.1959,0.6067,1.861,-253.75,555.48,0.861,0.4627,8,ok,sin_evento
REC-000005,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,CA,Canadá,Norteamérica,CAD,ALIAS-01-05,BB_CA_GAM_D_01_05,Juegos,CMP-001-05,CA_GAM_Discovery_GADS-001,Discovery,movil,ROAS objetivo,activa,2200.0,54002,2333,0.04321,0.68,1588.05,136,0.05829,11.68,2.01,5.1,13.91,273.6,694.06,1891.21,0.1723,0.4371,1.1909,-893.99,303.16,0.1909,0.1603,7,ok,sin_evento
REC-000002,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,CA,Canadá,Norteamérica,CAD,ALIAS-01-02,BB_CA_GAM_S_01_02,Juegos,CMP-001-02,CA_GAM_Search_GADS-001,Busqueda,movil,Maximizar valor de conversion,activa,250.0,12940,810,0.06264,0.33,265.08,60,0.07407,4.42,1.29,3.51,9.04,77.21,210.45,542.38,0.2913,0.7939,2.0461,-54.63,277.3,1.0461,0.5113,8,ok,sin_evento
REC-000014,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,CA,Canadá,Norteamérica,CAD,ALIAS-01-14,BB_CA_LRN_DG_01_14,Formación,CMP-001-14,CA_LRN_DemandGen_GADS-001,Demand Gen,movil,tCPA,activa,250.0,29110,978,0.0336,0.28,272.83,72,0.07362,3.79,0.9,2.99,8.58,65.16,215.01,617.65,0.2388,0.7881,2.2639,-57.82,344.82,1.2639,0.5583,10,ok,sin_evento
REC-000027,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,CA,Canadá,Norteamérica,CAD,ALIAS-01-27,BB_CA_MOB_S_01_27,Contenido móvil,CMP-001-27,CA_MOB_Search_GADS-001,Busqueda,escritorio,tCPA,activa,1600.0,10977,887,0.08086,0.98,870.93,96,0.10823,9.07,1.5,3.97,11.15,144.14,381.47,1070.7,0.1655,0.438,1.2294,-489.46,199.77,0.2294,0.1866,8,ok,sin_evento
REC-000028,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-28,BB_US_ENT_DG_01_28,Entretenimiento,CMP-001-28,US_ENT_DemandGen_GADS-001,Demand Gen,movil,Maximizar conversiones,activa,600.0,92449,3667,0.03967,0.19,681.3,204,0.05563,3.34,0.99,2.61,7.53,201.68,532.48,1536.08,0.296,0.7816,2.2546,-148.82,854.78,1.2546,0.5565,8,ok,sin_evento
REC-000025,2026-06-01,historico,False,lunes,GADS-001,Basebone_US_Core,Growth US,US,Estados Unidos,Norteamérica,USD,ALIAS-01-25,BB_US_ENT_D_01_25,Entretenimiento,CMP-001-25,US_ENT_Discovery_GADS-001,Discovery,escritorio,Maximizar valor de conversion,activa,850.0,104377,4955,0.04748,0.17,844.19,344,0.06942,2.45,0.67,2.35,6.16,229.67,808.06,2118.08,0.2721,0.9572,2.509,-36.13,1273.89,1.509,0.6014,9,ok,sin_evento
